id,make,model,year,vin_number,number_of_seats,car_type_name,licenseplate_number
1969,Porsche,911,1987,3GYFK62828G379028,3,B,XKR8QEBPP
1970,Volvo,V70,2007,3MZBM1K78EM809194,9,E,LQHKZQSQ4
1971,Cadillac,DTS,2006,JN8AF5MR1CT702750,4,E,AT8YUJNQP
1972,Jeep,Commander,2009,SCBDP3ZA6BC263530,9,A,EPX0IWXPJ
1973,Chrysler,Town & Country,1995,3GYFNFEY2AS382565,4,D,SYM956GJ4
1974,Ford,Thunderbird,2002,4T3BA3BB0CU471992,4,B,JSP2TVFVN
1975,Lincoln,Blackwood,2003,ZHWGU5BZ8DL262467,6,A,OW3WJRTE7
1976,Dodge,Stealth,1995,1VWAH7A31EC293635,2,B,MAWESXNG9
1977,Hyundai,,1993,3D73M4CL1AG284367,8,E,JOFCHFDXK
1978,,Golf,2011,1G6DC1E30E0206978,5,C,VIK7HARVA
1979,Mercury,Sable,2000,2T1BURHE0FC690641,4,B,ZMW1A6VTH
1980,Ford,Probe,1989,1C3CDZAB0DN966612,7,A,SKAQPRBNH
1981,Buick,,1995,1GKS1HE05BR909836,9,D,YNKEBYZYE
1982,Saturn,S-Series,2001,JTHBL5EF3F1437714,2,C,UKRXX7JCV
1983,Buick,Skyhawk,1984,1N6AD0CU6EN237641,9,B,QBG4X1VIF
1984,Kia,Sephia,1996,1G6AG5RX4E0893037,5,C,ZOZUVQRLK
1985,Lincoln,Continental,1986,1G6AB5S38F0637541,9,D,HRQ9OXDSY
1986,Pontiac,,1989,1FTMF1C87AK376480,5,D,TT901TMHN
1987,Buick,Skyhawk,1986,WA1EFCFS7FR663725,2,C,ZDA1A2MHU
1988,Mercury,Tracer,1999,WBAWV535X7P430200,8,D,HAMOHQSIL
1989,Hummer,H2,2008,1GYUKDEF2AR938931,2,E,NGB0Y4XBK
1990,Mazda,Miata MX-5,1993,19UUB2F36FA349886,5,C,NE2W6EYZX
1991,Mercedes-Benz,M-Class,2010,1N6AA0CC9CN038287,8,C,LH5ZQ4XB0
1992,Subaru,Legacy,1994,WAUWFAFL3BA939248,1,B,PZADM1ETS
1993,Mazda,Protege,1996,1G6AE5SX6D0468997,1,A,AIT9HRVQ9
1994,Lexus,GS,1996,WBAYB6C58DD571593,2,A,MX2SZCBKF
1995,Chevrolet,Monte Carlo,2005,WAUUL78E88A025846,5,B,RLBJIZXBH
1996,Ford,Explorer Sport Trac,2007,5FNRL5H21FB264632,4,E,FZP2UWOHY
1997,Chevrolet,Malibu,1999,WAUYGBFCXCN808856,9,E,JZTXKUAHM
1998,Bentley,,2007,1FTEX1CM9DF168032,2,E,YT0HKJVZ1
1999,Saturn,VUE,2009,WA1LGAFE8ED464035,1,B,QYCCOAEDM
2000,Isuzu,Rodeo Sport,2003,1G6DL8EYXB0727867,8,E,TZ33M9RCM
